trial_id,description,rank,azimuth_deg,elevation_deg,approach_clearance_m,seed,actions,joint_length,estimated_rrt_time_s,estimated_approach_time_s,estimated_close_time_s,estimated_grasp_time_s,planning_wall_time_s,selected
7,strawberry tilted around the x axis,1,-30,0,0.015000,123456,200,2.491842,10.000000,1.500000,1.000000,12.500000,0.018959,True
7,strawberry tilted around the x axis,2,-30,0,0.015000,7,200,2.491842,10.000000,1.500000,1.000000,12.500000,0.020564,False
7,strawberry tilted around the x axis,3,-30,0,0.015000,2026,200,2.491842,10.000000,1.500000,1.000000,12.500000,0.023380,False
7,strawberry tilted around the x axis,4,-30,0,0.015000,42,200,2.495310,10.000000,1.500000,1.000000,12.500000,0.019638,False
7,strawberry tilted around the x axis,5,-30,0,0.015000,314159,202,2.490279,10.100000,1.500000,1.000000,12.600000,0.018629,False
7,strawberry tilted around the x axis,6,30,30,0.015000,123456,207,2.984509,10.350000,1.500000,1.000000,12.850000,0.027229,False
7,strawberry tilted around the x axis,7,30,0,0.015000,99,208,2.781144,10.400000,1.500000,1.000000,12.900000,0.030694,False
7,strawberry tilted around the x axis,8,30,0,0.015000,42,212,2.567232,10.600000,1.500000,1.000000,13.100000,0.019021,False
7,strawberry tilted around the x axis,9,30,0,0.015000,123456,212,2.574542,10.600000,1.500000,1.000000,13.100000,0.020808,False
7,strawberry tilted around the x axis,10,30,0,0.015000,7,212,2.583381,10.600000,1.500000,1.000000,13.100000,0.021775,False
7,strawberry tilted around the x axis,11,30,0,0.015000,2026,212,2.585510,10.600000,1.500000,1.000000,13.100000,0.019833,False
7,strawberry tilted around the x axis,12,30,0,0.015000,314159,213,2.589949,10.650000,1.500000,1.000000,13.150000,0.022274,False
7,strawberry tilted around the x axis,13,30,30,0.015000,99,242,3.930586,12.100000,1.500000,1.000000,14.600000,0.025609,False
7,strawberry tilted around the x axis,14,-30,30,0.015000,42,253,3.198981,12.650000,1.500000,1.000000,15.150000,0.019882,False
7,strawberry tilted around the x axis,15,-30,30,0.015000,99,253,3.346929,12.650000,1.500000,1.000000,15.150000,0.022684,False
7,strawberry tilted around the x axis,16,-30,30,0.015000,314159,257,3.141673,12.850000,1.500000,1.000000,15.350000,0.021111,False
7,strawberry tilted around the x axis,17,30,30,0.015000,314159,261,3.144743,13.050000,1.500000,1.000000,15.550000,0.019815,False
7,strawberry tilted around the x axis,18,30,30,0.015000,2026,265,3.215149,13.250000,1.500000,1.000000,15.750000,0.020585,False
7,strawberry tilted around the x axis,19,30,30,0.015000,42,268,3.261168,13.400000,1.500000,1.000000,15.900000,0.020437,False
7,strawberry tilted around the x axis,20,0,30,0.015000,2026,277,4.086718,13.850000,1.500000,1.000000,16.350000,0.025637,False
7,strawberry tilted around the x axis,21,30,30,0.015000,7,281,3.986637,14.050000,1.500000,1.000000,16.550000,0.029518,False
7,strawberry tilted around the x axis,22,-30,30,0.015000,7,283,3.822003,14.150000,1.500000,1.000000,16.650000,0.021813,False
7,strawberry tilted around the x axis,23,0,0,0.015000,7,283,3.998617,14.150000,1.500000,1.000000,16.650000,0.021577,False
7,strawberry tilted around the x axis,24,0,30,0.015000,99,284,4.142687,14.200000,1.500000,1.000000,16.700000,0.030683,False
7,strawberry tilted around the x axis,25,0,30,0.015000,7,285,4.074371,14.250000,1.500000,1.000000,16.750000,0.026739,False
7,strawberry tilted around the x axis,26,-30,30,0.015000,2026,290,4.536306,14.500000,1.500000,1.000000,17.000000,0.023998,False
7,strawberry tilted around the x axis,27,0,0,0.015000,99,307,4.673303,15.350000,1.500000,1.000000,17.850000,0.045270,False
7,strawberry tilted around the x axis,28,0,30,0.015000,123456,314,3.951047,15.700000,1.500000,1.000000,18.200000,0.030040,False
7,strawberry tilted around the x axis,29,0,30,0.015000,42,316,5.188620,15.800000,1.500000,1.000000,18.300000,0.035559,False
7,strawberry tilted around the x axis,30,0,0,0.015000,42,328,5.097617,16.400000,1.500000,1.000000,18.900000,0.026316,False
7,strawberry tilted around the x axis,31,-30,0,0.015000,99,337,5.631548,16.850000,1.500000,1.000000,19.350000,0.023293,False
7,strawberry tilted around the x axis,32,0,0,0.015000,2026,343,5.557525,17.150000,1.500000,1.000000,19.650000,0.023159,False
7,strawberry tilted around the x axis,33,0,30,0.015000,314159,346,6.613533,17.300000,1.500000,1.000000,19.800000,0.037096,False
7,strawberry tilted around the x axis,34,0,0,0.015000,314159,356,5.587195,17.800000,1.500000,1.000000,20.300000,0.059281,False
7,strawberry tilted around the x axis,35,0,0,0.015000,123456,382,5.747866,19.100000,1.500000,1.000000,21.600000,0.040663,False
7,strawberry tilted around the x axis,36,-30,30,0.015000,123456,439,7.228265,21.950000,1.500000,1.000000,24.450000,0.030671,False
