trial_id,description,rank,azimuth_deg,elevation_deg,approach_clearance_m,seed,actions,joint_length,estimated_rrt_time_s,estimated_approach_time_s,estimated_close_time_s,estimated_grasp_time_s,planning_wall_time_s,selected
5,low target with an angled leaf on its left,1,-60,30,0.004187,123456,164,2.646214,8.200000,1.500000,1.000000,10.700000,0.129556,True
5,low target with an angled leaf on its left,2,60,0,0.006167,123456,193,3.104565,9.650000,1.500000,1.000000,12.150000,0.118027,False
5,low target with an angled leaf on its left,3,-60,30,0.004187,99,210,3.292090,10.500000,1.500000,1.000000,13.000000,0.023938,False
5,low target with an angled leaf on its left,4,30,0,0.010129,42,218,2.608785,10.900000,1.500000,1.000000,13.400000,0.024624,False
5,low target with an angled leaf on its left,5,30,0,0.010129,7,218,2.650226,10.900000,1.500000,1.000000,13.400000,0.018713,False
5,low target with an angled leaf on its left,6,30,0,0.010129,123456,218,2.650226,10.900000,1.500000,1.000000,13.400000,0.019308,False
5,low target with an angled leaf on its left,7,30,0,0.010129,2026,218,2.650226,10.900000,1.500000,1.000000,13.400000,0.024082,False
5,low target with an angled leaf on its left,8,30,0,0.010129,314159,219,2.623992,10.950000,1.500000,1.000000,13.450000,0.019273,False
5,low target with an angled leaf on its left,9,30,30,0.010129,123456,247,3.729143,12.350000,1.500000,1.000000,14.850000,0.025954,False
5,low target with an angled leaf on its left,10,-60,30,0.004187,314159,248,3.422765,12.400000,1.500000,1.000000,14.900000,0.018740,False
5,low target with an angled leaf on its left,11,-30,30,0.008853,99,251,3.405751,12.550000,1.500000,1.000000,15.050000,0.021263,False
5,low target with an angled leaf on its left,12,30,0,0.010129,99,252,4.058168,12.600000,1.500000,1.000000,15.100000,0.025287,False
5,low target with an angled leaf on its left,13,-30,30,0.008853,42,253,3.351756,12.650000,1.500000,1.000000,15.150000,0.020070,False
5,low target with an angled leaf on its left,14,-30,30,0.008853,314159,261,3.318108,13.050000,1.500000,1.000000,15.550000,0.018455,False
5,low target with an angled leaf on its left,15,30,30,0.010129,7,261,3.603227,13.050000,1.500000,1.000000,15.550000,0.028709,False
5,low target with an angled leaf on its left,16,-60,30,0.004187,42,261,3.603418,13.050000,1.500000,1.000000,15.550000,0.018431,False
5,low target with an angled leaf on its left,17,0,30,0.010129,2026,268,3.954377,13.400000,1.500000,1.000000,15.900000,0.032576,False
5,low target with an angled leaf on its left,18,30,30,0.010129,314159,270,3.287048,13.500000,1.500000,1.000000,16.000000,0.018211,False
5,low target with an angled leaf on its left,19,30,30,0.010129,2026,275,3.395587,13.750000,1.500000,1.000000,16.250000,0.019896,False
5,low target with an angled leaf on its left,20,-30,30,0.008853,7,279,4.373782,13.950000,1.500000,1.000000,16.450000,0.031057,False
5,low target with an angled leaf on its left,21,30,30,0.010129,42,282,3.497166,14.100000,1.500000,1.000000,16.600000,0.019694,False
5,low target with an angled leaf on its left,22,0,30,0.010129,314159,282,3.941253,14.100000,1.500000,1.000000,16.600000,0.026390,False
5,low target with an angled leaf on its left,23,0,30,0.010129,99,282,3.941905,14.100000,1.500000,1.000000,16.600000,0.028605,False
5,low target with an angled leaf on its left,24,30,30,0.010129,99,292,4.007576,14.600000,1.500000,1.000000,17.100000,0.029385,False
5,low target with an angled leaf on its left,25,-30,30,0.008853,123456,298,4.429136,14.900000,1.500000,1.000000,17.400000,0.027359,False
5,low target with an angled leaf on its left,26,0,30,0.010129,123456,310,4.003811,15.500000,1.500000,1.000000,18.000000,0.031194,False
5,low target with an angled leaf on its left,27,-60,30,0.004187,2026,311,5.173365,15.550000,1.500000,1.000000,18.050000,0.022773,False
5,low target with an angled leaf on its left,28,-30,30,0.008853,2026,317,4.827173,15.850000,1.500000,1.000000,18.350000,0.021846,False
5,low target with an angled leaf on its left,29,-60,30,0.004187,7,339,4.649939,16.950000,1.500000,1.000000,19.450000,0.025810,False
5,low target with an angled leaf on its left,30,0,30,0.010129,7,347,4.259204,17.350000,1.500000,1.000000,19.850000,0.031149,False
5,low target with an angled leaf on its left,31,0,30,0.010129,42,424,5.344973,21.200000,1.500000,1.000000,23.700000,0.037571,False
