trial_id,description,rank,azimuth_deg,elevation_deg,approach_clearance_m,seed,actions,joint_length,estimated_rrt_time_s,estimated_approach_time_s,estimated_close_time_s,estimated_grasp_time_s,planning_wall_time_s,selected
9,neighbor blocks preferred minus-60-degree approach,1,60,30,0.013666,7,166,2.602094,8.300000,1.500000,1.000000,10.800000,0.019583,True
9,neighbor blocks preferred minus-60-degree approach,2,60,0,0.016000,314159,170,2.479748,8.500000,1.500000,1.000000,11.000000,0.021932,False
9,neighbor blocks preferred minus-60-degree approach,3,60,0,0.016000,123456,171,2.520906,8.550000,1.500000,1.000000,11.050000,0.017753,False
9,neighbor blocks preferred minus-60-degree approach,4,60,0,0.016000,2026,171,2.520906,8.550000,1.500000,1.000000,11.050000,0.017899,False
9,neighbor blocks preferred minus-60-degree approach,5,60,0,0.016000,7,171,2.520906,8.550000,1.500000,1.000000,11.050000,0.021318,False
9,neighbor blocks preferred minus-60-degree approach,6,60,0,0.016000,42,172,2.533258,8.600000,1.500000,1.000000,11.100000,0.018028,False
9,neighbor blocks preferred minus-60-degree approach,7,60,0,0.016000,99,181,3.064614,9.050000,1.500000,1.000000,11.550000,0.023561,False
9,neighbor blocks preferred minus-60-degree approach,8,30,0,0.016000,99,207,2.698894,10.350000,1.500000,1.000000,12.850000,0.024223,False
9,neighbor blocks preferred minus-60-degree approach,9,30,0,0.016000,42,212,2.484815,10.600000,1.500000,1.000000,13.100000,0.023951,False
9,neighbor blocks preferred minus-60-degree approach,10,30,0,0.016000,314159,213,2.498672,10.650000,1.500000,1.000000,13.150000,0.018382,False
9,neighbor blocks preferred minus-60-degree approach,11,30,0,0.016000,7,213,2.508770,10.650000,1.500000,1.000000,13.150000,0.020859,False
9,neighbor blocks preferred minus-60-degree approach,12,30,0,0.016000,123456,213,2.508770,10.650000,1.500000,1.000000,13.150000,0.021654,False
9,neighbor blocks preferred minus-60-degree approach,13,30,0,0.016000,2026,213,2.508770,10.650000,1.500000,1.000000,13.150000,0.022379,False
9,neighbor blocks preferred minus-60-degree approach,14,60,30,0.013666,99,213,3.697470,10.650000,1.500000,1.000000,13.150000,0.029635,False
9,neighbor blocks preferred minus-60-degree approach,15,60,30,0.013666,123456,230,3.597978,11.500000,1.500000,1.000000,14.000000,0.026017,False
9,neighbor blocks preferred minus-60-degree approach,16,30,30,0.016000,99,241,3.905054,12.050000,1.500000,1.000000,14.550000,0.033328,False
9,neighbor blocks preferred minus-60-degree approach,17,60,30,0.013666,314159,247,3.298048,12.350000,1.500000,1.000000,14.850000,0.022506,False
9,neighbor blocks preferred minus-60-degree approach,18,60,30,0.013666,2026,252,3.414452,12.600000,1.500000,1.000000,15.100000,0.022463,False
9,neighbor blocks preferred minus-60-degree approach,19,60,30,0.013666,42,255,3.483155,12.750000,1.500000,1.000000,15.250000,0.022219,False
9,neighbor blocks preferred minus-60-degree approach,20,0,30,0.008585,314159,262,4.402439,13.100000,1.500000,1.000000,15.600000,0.032429,False
9,neighbor blocks preferred minus-60-degree approach,21,30,30,0.016000,314159,263,3.123214,13.150000,1.500000,1.000000,15.650000,0.022905,False
9,neighbor blocks preferred minus-60-degree approach,22,30,30,0.016000,2026,267,3.196514,13.350000,1.500000,1.000000,15.850000,0.023462,False
9,neighbor blocks preferred minus-60-degree approach,23,30,30,0.016000,42,268,3.253260,13.400000,1.500000,1.000000,15.900000,0.022115,False
9,neighbor blocks preferred minus-60-degree approach,24,30,30,0.016000,7,274,3.557774,13.700000,1.500000,1.000000,16.200000,0.024753,False
9,neighbor blocks preferred minus-60-degree approach,25,30,30,0.016000,123456,278,3.894091,13.900000,1.500000,1.000000,16.400000,0.031762,False
9,neighbor blocks preferred minus-60-degree approach,26,0,0,0.005065,7,283,4.007321,14.150000,1.500000,1.000000,16.650000,0.021932,False
9,neighbor blocks preferred minus-60-degree approach,27,0,30,0.008585,2026,285,4.073680,14.250000,1.500000,1.000000,16.750000,0.022307,False
9,neighbor blocks preferred minus-60-degree approach,28,0,30,0.008585,99,285,4.137073,14.250000,1.500000,1.000000,16.750000,0.028303,False
9,neighbor blocks preferred minus-60-degree approach,29,0,0,0.005065,314159,297,3.612153,14.850000,1.500000,1.000000,17.350000,0.028347,False
9,neighbor blocks preferred minus-60-degree approach,30,0,30,0.008585,123456,297,3.788954,14.850000,1.500000,1.000000,17.350000,0.026337,False
9,neighbor blocks preferred minus-60-degree approach,31,0,30,0.008585,7,309,4.193583,15.450000,1.500000,1.000000,17.950000,0.029063,False
9,neighbor blocks preferred minus-60-degree approach,32,0,30,0.008585,42,314,5.169325,15.700000,1.500000,1.000000,18.200000,0.031318,False
9,neighbor blocks preferred minus-60-degree approach,33,0,0,0.005065,99,318,3.587015,15.900000,1.500000,1.000000,18.400000,0.044144,False
9,neighbor blocks preferred minus-60-degree approach,34,0,0,0.005065,2026,326,5.743376,16.300000,1.500000,1.000000,18.800000,0.024093,False
9,neighbor blocks preferred minus-60-degree approach,35,0,0,0.005065,42,344,5.152931,17.200000,1.500000,1.000000,19.700000,0.022970,False
9,neighbor blocks preferred minus-60-degree approach,36,0,0,0.005065,123456,386,5.799733,19.300000,1.500000,1.000000,21.800000,0.037078,False
