trial_id,description,rank,azimuth_deg,elevation_deg,approach_clearance_m,seed,actions,joint_length,estimated_rrt_time_s,estimated_approach_time_s,estimated_close_time_s,estimated_grasp_time_s,planning_wall_time_s,selected
10,dense overhead canopy failure challenge,1,-30,0,0.000768,7,210,2.858631,10.500000,1.500000,1.000000,13.000000,0.022840,True
10,dense overhead canopy failure challenge,2,-60,0,0.000768,7,225,3.680732,11.250000,1.500000,1.000000,13.750000,0.024447,False
10,dense overhead canopy failure challenge,3,-90,0,0.004833,42,241,4.069407,12.050000,1.500000,1.000000,14.550000,0.027608,False
10,dense overhead canopy failure challenge,4,-60,0,0.000768,314159,242,3.103282,12.100000,1.500000,1.000000,14.600000,0.029540,False
10,dense overhead canopy failure challenge,5,-90,0,0.004833,2026,243,3.653795,12.150000,1.500000,1.000000,14.650000,0.019728,False
10,dense overhead canopy failure challenge,6,-60,0,0.000768,42,248,3.952192,12.400000,1.500000,1.000000,14.900000,0.025051,False
10,dense overhead canopy failure challenge,7,-60,0,0.000768,2026,248,3.978120,12.400000,1.500000,1.000000,14.900000,0.023906,False
10,dense overhead canopy failure challenge,8,-90,0,0.004833,314159,263,4.316695,13.150000,1.500000,1.000000,15.650000,0.031941,False
10,dense overhead canopy failure challenge,9,-90,0,0.004833,99,264,3.864656,13.200000,1.500000,1.000000,15.700000,0.022128,False
10,dense overhead canopy failure challenge,10,-30,0,0.000768,99,266,2.965050,13.300000,1.500000,1.000000,15.800000,0.025899,False
10,dense overhead canopy failure challenge,11,-30,0,0.000768,42,284,4.512718,14.200000,1.500000,1.000000,16.700000,0.022717,False
10,dense overhead canopy failure challenge,12,0,0,0.004833,99,314,4.649054,15.700000,1.500000,1.000000,18.200000,0.058995,False
10,dense overhead canopy failure challenge,13,0,0,0.004833,42,343,5.358807,17.150000,1.500000,1.000000,19.650000,0.021991,False
10,dense overhead canopy failure challenge,14,-30,0,0.000768,123456,347,5.235811,17.350000,1.500000,1.000000,19.850000,0.062040,False
10,dense overhead canopy failure challenge,15,0,0,0.004833,7,348,4.899866,17.400000,1.500000,1.000000,19.900000,0.075528,False
10,dense overhead canopy failure challenge,16,-30,0,0.000768,314159,352,5.596293,17.600000,1.500000,1.000000,20.100000,0.032177,False
10,dense overhead canopy failure challenge,17,-90,0,0.004833,123456,374,5.150932,18.700000,1.500000,1.000000,21.200000,0.025577,False
10,dense overhead canopy failure challenge,18,-60,0,0.000768,99,376,4.921172,18.800000,1.500000,1.000000,21.300000,0.030334,False
10,dense overhead canopy failure challenge,19,0,0,0.004833,314159,376,5.362185,18.800000,1.500000,1.000000,21.300000,0.084589,False
10,dense overhead canopy failure challenge,20,-90,0,0.004833,7,387,5.929399,19.350000,1.500000,1.000000,21.850000,0.035568,False
10,dense overhead canopy failure challenge,21,0,0,0.004833,2026,394,6.145167,19.700000,1.500000,1.000000,22.200000,0.024646,False
10,dense overhead canopy failure challenge,22,-60,0,0.000768,123456,402,6.533625,20.100000,1.500000,1.000000,22.600000,0.034626,False
10,dense overhead canopy failure challenge,23,0,0,0.004833,123456,403,6.065071,20.150000,1.500000,1.000000,22.650000,0.037334,False
10,dense overhead canopy failure challenge,24,-30,0,0.000768,2026,447,6.762449,22.350000,1.500000,1.000000,24.850000,0.027857,False
